app_id,app_resource_name,resource_cost
103,Rosa acicularis Lindl.,2.64
135,Galium californicum Hook. & Arn. ssp. primum Dempster & Stebbins,23.81
144,Penstemon ovatus Douglas ex Hook.,67.2
121,Stipulicida setacea Michx. var. setacea,67.8
124,Erigeron peregrinus (Banks ex Pursh) Greene ssp. callianthemus (Greene) Cronquist var. callianthemus,44.83
114,Astragalus curvicarpus (A. Heller) J.F. Macbr. var. curvicarpus,1.66
108,Astragalus mollissimus Torr. var. bigelovii (A. Gray) Barneby ex B.L. Turner,44.24
145,Lupinus excubitus M.E. Jones,78.52
114,Carex amphibola Steud.,79.85
108,Psorothamnus arborescens (Torr. ex A. Gray) Barneby var. arborescens,53.85
140,Pediomelum aromaticum (Payson) W.A. Weber,11.06
109,Diplacus grandiflorus (Lindl.) Groenl.,0.19
105,Merremia cissoides (Lam.) Hallier f.,59.36
137,Lupinus elegans Kunth,78.29
139,Gentiana newberryi A. Gray,30.21
124,Synthyris pinnatifida S. Watson var. lanuginosa (Piper) Cronquist,64.56
129,Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom var. apricum (A. Gray) G.L. Nesom,92.12
149,Balsamorhiza macrolepis Sharp,55.82
133,Croton setigerus Hook.,34.57
137,Castilleja subinclusa Greene ssp. subinclusa,23.58
102,Clerodendrum aculeatum (L.) Schltdl.,93.61
129,Geum triflorum Pursh var. triflorum,20.18
110,Manilkara jaimiqui (C. Wright) Dubard,72.08
150,Philodendron marginatum Urb.,46.87
128,Alternanthera flavogrisea Urb.,99.54
137,Chamelaucium Desf.,35.91
132,Diphyscium cumberlandianum Harvill,89.21
129,Baileya Harv. & A. Gray ex A. Gray,89.27
141,Stenandrium Nees,70.79
120,Poa unilateralis Scribn. ssp. unilateralis,1.98
146,Joinvillea Gaudich. ex Brongn. & Gris,72.5
142,Frankenia L.,84.02
130,Dicoria canescens A. Gray ssp. clarkiae (Kennedy) D.D. Keck,92.19
106,Acalypha berteriana Müll. Arg.,23.85
136,Cinchona L.,90.06
114,Yucca glauca Nutt.,6.0
141,Peperomia hernandiifolia (Vahl) A. Dietr.,94.18
106,Manfreda variegata (Jacobi) Rose,82.4
113,Baccharis halimifolia L.,47.95
143,Chaetopappa asteroides Nutt. ex DC.,9.85
149,Mirabilis decipiens (Standl.) Standl.,49.27
110,Verrucaria calciseda DC.,57.1
121,Rubus kennedyanus Fernald,97.72
128,Eriophyllum congdonii Brandegee,31.06
124,Eurhynchium praelongum (Hedw.) Schimp.,12.97
124,Carex scirpoidea Michx. ssp. pseudoscirpoidea (Rydb.) Dunlop,89.15
139,Cyperus elegans L.,71.66
121,Selaginella wrightii Hieron.,98.67
126,Caragana frutex (L.) K. Koch,29.4
110,Cordylanthus ramosus Nutt. ex Benth.,79.87
113,Spergularia canadensis (Pers.) G. Don var. canadensis,8.03
149,Lycium exsertum A. Gray,79.78
125,Clematis versicolor Small ex Rydb.,75.06
148,Allium cepa L.,26.25
127,Sullivantia hapemanii (J.M. Coult. & Fisher) J.M. Coult. var. purpusii (Brand) Soltis,6.93
124,Elymus macrourus (Turcz.) Tzvelev,66.3
129,Artemisia australis Less.,88.27
102,Callisia rosea (Vent.) D.R. Hunt,42.8
140,Elodea Michx.,19.82
101,Trifolium eriocephalum Nutt.,71.19
111,Spathiphyllum Schott,26.65
117,Carex macrochaeta C.A. Mey.,49.06
143,Chaenactis parishii A. Gray,98.81
114,Schoenocaulon texanum Scheele,36.56
113,Phalaris caroliniana Walter,96.47
101,Senna tora (L.) Roxb.,98.11
111,Astragalus monumentalis Barneby var. monumentalis,41.69
124,Potentilla acuminata H.M. Hall,78.02
138,Asterothyrium leucophthalmum (Müll. Arg.) R. Sant.,46.51
101,Guilleminea densa (Humb. & Bonpl. ex Schult.) Moq.,58.49
138,Astragalus coltonii M.E. Jones var. coltonii,53.43
124,Tomentypnum Loeske,94.9
138,Cyperus surinamensis Rottb.,79.87
146,Turpinia Vent.,50.43
142,Buxus vahlii Baill.,83.51
145,Paspalum laeve Michx.,58.37
149,Cicuta maculata L.,4.32
117,Agarista populifolia (Lam.) W.S. Judd,2.94
147,Agrostemma L.,66.68
107,Spathoglottis plicata Blume,76.48
136,Streptanthus longisiliquus G. Clifton & R.E. Buck,17.07
141,Astragalus preussii A. Gray var. laxiflorus A. Gray,22.16
120,Lantana depressa Small var. floridana (Moldenke) R.W. Sanders,65.01
118,Lunania ekmanii Urb.,84.49
105,Antennaria rosea Greene,31.64
102,Ipomoea setosa Ker Gawl.,99.7
143,Tayloria froelichiana (Hedw.) Mitt. ex Broth.,73.47
129,Chaenotheca phaeocephala (Turner) Th. Fr.,90.85
138,Trichostema setaceum Houtt.,51.81
143,Labordia tinifolia A. Gray var. wahiawaensis H. St. John,22.46
120,Nephrolepis rivularis (Vahl) Mett. ex Krug,38.52
126,Helianthus ×brevifolius E.E. Watson (pro sp.),50.65
115,Errazurizia Phil.,28.07
129,Abutilon parvulum A. Gray,19.65
137,Viola oahuensis Forbes,80.7
108,Monochoria hastata (L.) Solms [excluded],40.09
147,Muhlenbergia tenuifolia (Kunth) Trin.,40.65
128,Argemone ochroleuca Sweet,36.86
126,Lophiola Ker Gawl.,99.26
144,Puccinellia nutkaensis (J. Presl) Fernald & Weath.,67.79
128,Stenandrium Nees,50.81
109,Calamagrostis expansa (Munro ex Hillebr.) Hitchc.,39.38
111,Physalis walteri Nutt.,47.55
101,Lepraria neglecta (Nyl.) Erichsen,68.09
136,Phacelia pulchella A. Gray var. gooddingii (Brand) J.T. Howell,37.3
106,Alyssum obovatum (C.A. Mey.) Turcz.,16.1
129,Romanzoffia unalaschcensis Cham. var. glabriuscula Hultén,93.11
140,Larrea tridentata (DC.) Coville var. tridentata,44.7
106,Monardella candicans Benth.,95.34
106,Quercus ×fontana Laughlin,11.73
135,Pentzia incana (Thunb.) Kuntze,98.66
120,Allium triquetrum L.,97.79
110,Astragalus simplicifolius (Nutt.) A. Gray,92.7
113,Ardisia crenata Sims,86.08
116,Equisetum ×nelsonii (A.A. Eaton) Schaffn. (pro sp.),95.64
146,Distictis lactiflora (Vahl) DC.,23.71
128,Aristida portoricensis Pilg.,12.22
103,Ranunculus glacialis L.,93.73
142,Platygyrium fuscoluteum Cardot,73.96
119,Scribneria bolanderi (Thurb.) Hack.,65.57
149,Pistacia terebinthus L.,64.08
141,Myrinia pulvinata (Wahlenb.) Schimp.,6.03
110,Stachys palustris L.,15.48
108,Amaranthus spinosus L.,19.93
100,Draba ramulosa Rollins,10.54
119,Lecanora cinereofusca H. Magn. var. appalachensis Brodo,58.39
124,Carex lurida Wahlenb.,90.51
120,Chamerion latifolium (L.) Holub,63.94
122,Astragalus lentiginosus Douglas ex Hook. var. vitreus Barneby,85.86
148,Dryas drummondii Richardson ex Hook.,0.57
134,Robinia ×margarettiae Ashe (pro sp.),81.71
127,Muhlenbergia repens (J. Presl) Hitchc.,98.49
141,Enemion occidentale (Hook. & Arn.) J.R. Drumm. & Hutch.,99.72
107,Carpobrotus edulis (L.) L. Bolus,10.19
135,Lysimachia mauritiana Lam.,1.83
122,Palafoxia callosa (Nutt.) Torr. & A. Gray,83.5
144,Dioscorea nummularia Lam.,8.58
131,Cardamine douglassii Britton,59.62
117,Lupinus latifolius Lindl. ex J. Agardh ssp. longipes (Greene) Kenney & D. Dunn,1.36
130,Lecanora thallophila H. Magn.,93.67
142,Penstemon havardii A. Gray,35.41
102,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray,76.64
134,Hydrophyllum capitatum Douglas ex Benth. var. thompsonii (M. Peck) Constance,67.11
138,Senna artemisioides (Gaudich. ex DC.) Randell ssp. ×sturtii (R. Br.) Randell,7.81
137,Crataegus ater Ashe,10.91
130,Astragalus gambelianus Sheldon,63.96
145,Lilium maritimum Kellogg,51.9
149,Ligusticum californicum J.M. Coult. & Rose,44.12
106,Stenocybe pullatula (Ach.) Stein,60.68
122,Myriophyllum alterniflorum DC.,58.28
113,Buellia maritima (A. Massal.) Bagl.,90.14
140,Machaeranthera canescens (Pursh) A. Gray ssp. glabra (A. Gray) B.L. Turner var. nebraskana B.L. Turner,51.15
129,Linum floridanum (Planch.) Trel. var. chrysocarpum C.M. Rogers,24.23
137,Datisca L.,31.74
142,Ernodea cokeri Britton ex Coker,11.34
114,Schiedea spergulina A. Gray var. leiopoda Sherff,98.69
108,Hymenophyllum asplenioides (Sw.) Sw.,20.42
147,Cylindropuntia (Engelm.) Kreuzinger,21.4
111,Maclura tinctoria (L.) D. Don ex Steud.,35.02
130,Dryas ×wyssiana Beauverd,8.88
131,Pinus radiata D. Don,8.79
150,Thrinax Sw.,48.76
141,Tetraclea A. Gray,94.75
108,Olneya A. Gray,98.4
114,Ranunculus alismifolius Geyer ex Benth.,97.51
124,Calochortus dunnii Purdy,85.38
113,Kalmia carolina Small,40.17
139,Vitis cinerea (Engelm.) Engelm. ex Millard var. floridana Munson,44.3
106,Thymophylla pentachaeta (DC.) Small var. pentachaeta,16.48
103,Asplenium ×sphenocookii W.H. Wagner,40.77
