app_id,resource_name,cost
23,PharetraMagna.avi,877.76
89,VitaeNisi.ppt,904.34
123,SemDuisAliquam.png,421.06
105,Integer.ppt,837.13
54,DonecQuis.pdf,625.91
71,JustoSitAmet.jpeg,419.78
36,Sapien.ppt,11.38
111,ElementumIn.avi,444.23
15,SapienUt.mpeg,26.34
38,EtTempus.pdf,816.89
57,Sit.ppt,841.8
98,IntegerAcLeo.mov,903.72
9,VivamusTortorDuis.doc,781.98
85,PotentiNullam.png,940.61
118,Sollicitudin.doc,780.79
73,QuamAOdio.mpeg,452.39
70,LoremInteger.avi,968.74
85,LaciniaSapienQuis.xls,436.38
43,Nunc.avi,987.06
71,ElementumLigula.pdf,786.7
83,SociisNatoque.mpeg,428.3
13,Nisl.doc,850.25
18,DictumstAliquam.ppt,437.76
7,EtiamPretium.mov,296.26
105,Luctus.jpeg,950.67
129,AmetSapien.jpeg,799.56
41,LaciniaEgetTincidunt.mp3,690.37
84,Venenatis.png,850.94
111,DiamNamTristique.mp3,97.4
104,Rutrum.ppt,915.77
62,PedeJustoEu.pdf,32.09
110,LigulaVehicula.mov,323.61
71,FusceConsequatNulla.mp3,629.46
4,Integer.txt,208.41
43,Erat.mp3,882.17
21,TinciduntEuFelis.tiff,535.67
69,Accumsan.mp3,898.34
77,VivamusVestibulum.mov,583.56
47,AdipiscingMolestie.ppt,926.46
42,Quam.avi,809.19
91,Consequat.mov,433.12
114,InFaucibusOrci.jpeg,116.95
7,UllamcorperPurusSit.gif,747.3
58,Nulla.xls,171.39
69,Erat.mp3,328.72
74,Sed.jpeg,171.68
89,IaculisJusto.mp3,133.31
109,NuncDonecQuis.tiff,55.74
15,VitaeNislAenean.pdf,522.89
125,UtDolor.xls,535.1
8,SitAmet.avi,471.86
84,UltricesPosuereCubilia.mp3,402.01
113,RutrumNeque.mp3,840.37
25,PorttitorPedeJusto.tiff,504.51
115,Posuere.jpeg,135.87
115,Nascetur.ppt,435.68
65,Maecenas.mp3,960.8
101,NamCongueRisus.doc,956.53
70,RutrumAc.xls,95.07
52,MontesNascetur.mov,281.62
128,UltricesLiberoNon.tiff,140.66
93,Fermentum.mp3,580.02
88,Justo.ppt,145.63
50,Non.mp3,847.04
67,TurpisSed.tiff,357.21
89,Quisque.mp3,130.85
10,BlanditNonInterdum.mpeg,229.12
24,Nisl.mp3,732.64
9,NullamSit.jpeg,428.61
27,Libero.mp3,803.78
130,FaucibusCursus.mpeg,239.68
45,VestibulumAc.avi,251.99
127,Rhoncus.mp3,345.77
87,AtNuncCommodo.mpeg,438.89
49,NullaAc.xls,235.53
76,Est.mp3,593.93
97,InImperdiet.jpeg,862.28
71,FuscePosuere.mp3,146.7
113,Pellentesque.avi,184.47
100,Tincidunt.pdf,28.35
4,Maecenas.avi,247.16
2,ElementumNullamVarius.xls,727.27
87,Parturient.mp3,357.48
97,AeneanSit.xls,16.64
4,MassaIdLobortis.doc,507.15
6,Faucibus.xls,909.29
115,Non.xls,851.82
13,CubiliaCuraeDonec.avi,462.98
122,Consequat.mp3,909.95
22,UltricesPosuere.ppt,99.1
73,Integer.mp3,270.22
112,IpsumPrimisIn.ppt,435.67
116,NisiVenenatis.mp3,503.18
68,AtNuncCommodo.png,848.39
63,NuncCommodo.jpeg,430.17
70,TinciduntEuFelis.avi,752.92
119,AnteIpsumPrimis.avi,531.31
92,PlaceratPraesent.mpeg,898.9
81,AnteNulla.txt,129.77
81,Eu.tiff,714.66
